Name,Yearly Performance,Volatility
MMSI,34.92094476,2.09223516
MNKD,72.43816254,3.17124736
MNOV,-45.16640254,3.51906158
MNPR,-3.38645418,6.82773109
MORF,88.72909699,8.5267214
MOTS,-18.32467532,6.09577556
MREO,-9.70464135,10.07371007
MRK,8.23256163,1.73217375
MRKR,-7.94701987,2.89855072
MRNA,151.5083199,4.2138453
MRNS,-13.20885201,3.06122449
MRSN,-62.79849183,4.10376283
MRTX,-38.23913611,3.65306713
MRUS,94.89795918,4.8273432
MTCR,-87.80241935,6.77966102
MTD,28.08456794,2.63223767
MTEM,-48.29369183,12.08333333
MTEX,143.4315531,3.05128205
MTNB,46.05263158,15.59633028
MYGN,72.81665703,3.34356875
MYMD,108.3769634,27.38705234
MYOV,5.16224189,2.86123033
NAII,40.37419892,3.2586356
NAOV,132.308792,13.38582677
NARI,32.55848168,3.15212426
NAUT,-53.90909091,6.13861386
NAVB,-45.56370656,5.18518519
NBIX,-3.79291553,2.10532322
NBRV,-77.82561895,2.94117647
NBSE,-56.375,8.06697108
NBY,-10.8248314,5.42910632
NCNA,-44.12371134,7.57620818
NDRA,36.69064748,20.90909091
NEOG,19.1500735,2.33405442
NEPH,28.67333333,4.04851752
NERV,-63.43490305,4.72440945
NEXI,-57.20489538,9.79228487
NGM,-12.76223776,3.99170555
NKTR,-24.3166287,5.29595016
NKTX,-48.71577759,7.41156654
NLSP,-24.91349481,3.28169014
NLTX,-49.91749175,6.27118644
NMRD,33.24873096,10.76190476
NMTR,7.84313725,4.62962963
NNOX,-42.5019836,7.5
NNVC,39.94169096,4.90569303
NOVN,26.79276658,6.65557404
NPCE,-50.12019231,7.12510356
NRBO,-66.2835249,4.57142857
NRIX,-0.32973621,3.24242424
NRXP,-44.84679666,7.34072022
NSPR,-26.33881139,4.72440945
NSTG,-0.04158869,4.62863294
NTLA,294.6900115,5.64577907
NTRB,-50.94650206,9.90990991
NTUS,23.70546318,2.4504999
NURO,318.0790961,5.70652174
NUVA,25.44833476,2.4820267
NUVB,-6.28742515,4.8951049
NUVL,46.66666667,16.66666667
NUWE,-72.18649518,2.3255814
NVAX,83.53967058,4.33178051
NVCR,-10.20993931,3.80952381
NVIV,-3.05206463,2.44821092
NVNO,-6.68647845,5.22193211
NVRO,-43.88696316,4.01853049
NVST,48.47009736,1.78027641
